시군구별,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
전국,0.837,0.7,6.2,30.6,78.9,42.3,7.1,0.2
서울특별시,0.642,0.3,2.5,14.3,60.3,42.4,7.7,0.2
부산광역시,0.747,0.7,4.6,24.7,72.5,38.7,6.6,0.1
대구광역시,0.807,0.6,5.4,29.3,79.6,38,5.8,0.2
인천광역시,0.829,0.8,6.6,30.6,76.9,42.4,6.9,0.2
광주광역시,0.811,0.6,5.5,30.3,75.9,40.6,6.7,0.2
대전광역시,0.805,0.8,5.9,30.1,76.1,39.7,6.4,0.2
울산광역시,0.984,0.5,7,42.7,99.4,39.4,6,0.1
세종특별자치시,1.277,0.2,8.7,56,128,54.8,7.7,0.3
경기도,0.878,0.7,5.9,32.3,83.3,44.3,7.5,0.2
강원도,1.036,1.3,10.2,51,92.7,42.4,7.3,0.1
충청북도,0.983,1.1,10.1,46.1,90,41.2,6.1,0.1
충청남도,1.029,1.1,11.5,52.1,92.7,39.4,7.1,0.2
전라북도,0.909,1.1,8.1,40.3,82.4,40.3,6.9,0.2
전라남도,1.145,1.5,11.7,53.9,103.2,48.2,7.5,0.2
경상북도,1.003,1,9.7,47.6,91.4,41.9,6.8,0.1
경상남도,0.945,0.7,7.5,42.4,90.9,39.3,5.9,0.2
제주특별자치도,1.021,1.3,11.3,42.6,88,49.3,9.2,0.3
