시군구별,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
서울특별시,0.983,1,6.7,39.5,98.5,45.8,5.8,0.1
종로구,0.79,0.5,4.3,27.7,74.4,43.6,6.9,0.2
중구,1.004,1.7,6.3,36.9,98.9,49.2,7.9,0
용산구,0.978,1.1,4.2,40.5,92.8,50.3,6.8,0
성동구,1.027,0.5,5.4,37.5,108.5,49,5.7,0
광진구,0.895,0.7,6.1,33.8,93.6,40.9,4.8,0.3
동대문구,0.914,1.1,6.1,36.1,90.8,43.3,6,0.1
중랑구,1.006,1.4,9.4,43.6,97.7,43.2,6.7,0
성북구,0.949,1.5,6.7,37.3,93.8,44.1,5.9,0.2
강북구,0.955,1.7,10.1,39.7,91.5,43.3,5.1,0
도봉구,1,0.7,8.4,43.8,98.3,42.8,5.5,0.1
노원구,1.109,0.4,5.4,50,115,44.2,5.4,0.1
은평구,1.028,1.2,8.5,47.9,95.6,45.7,6.5,0.1
서대문구,0.954,1,6.4,37,94.5,44.7,6.4,0
마포구,0.915,1.6,6.4,34.4,90.5,44.3,6.8,0.3
양천구,1.005,0.5,5.1,41.4,105.2,42.4,4.5,0.2
강서구,1.064,0.9,9,47.3,104.7,47,5.7,0.1
구로구,1.142,1,8.7,50.9,112.5,50.5,7.1,0.1
금천구,1.019,1.1,11.6,44.8,94.2,46.6,5,0.1
영등포구,1.025,0.9,4.9,41.1,105.9,48.6,5.5,0.1
동작구,1.007,0.5,5.7,35.6,102.3,53,5.7,0.2
관악구,0.834,1.5,8,27.8,81.7,41.8,6.6,0.1
서초구,1.014,0.1,3.2,39.8,106,49.2,5.6,0.3
강남구,0.863,2.5,6.7,31.5,85.7,42.8,5.1,0.1
송파구,0.996,0.6,5.1,38.9,103.8,47.1,5.7,0.1
강동구,1.039,0.8,6.4,43.6,103.8,48.2,6.1,0.1
